projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0040-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0040-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0040-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0041-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0042-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 177.2% (A=1427.0 R=3956.0);;Hengst Malerwerkstätten GmbH: 12364 EUR (202332859);;;;
0042-2024;2024;3;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;Phase W: Diff 94.2% (A=2614.0 R=5077.0);;RS Bau und Demontage Service: 2695 EUR (20240704);;;;Caspari + NEIN (B=0 C=60)
0043-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0043-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 46.8% (A=2640.0 R=1404.0);;;;Phase T: -1236.0 EUR (46.8%);;Caspari + NEIN (B=0 C=20)
0045-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0045-2025;2025;3;POSITIV;0;;;;Phase W: Diff 97.1% (A=6787.0 R=200.0);;;;Phase W: -6587.0 EUR (97.1%);;Bierau + JA (B=61 C=19)
0046-2023;2023;0;POSITIV;2;VERDACHT;FALL-018;Zippel;;;;;;;
0046-2024;2024;2;UNBEKANNT;0;;;;Phase L: Diff 37.2% (A=2164.0 R=1358.0);;;;;;Bierau + JA (B=14 C=26)
0046-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0047-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 37.0% (A=1951.0 R=1228.0);;;;;;Caspari + NEIN (B=0 C=10)
0047-2024;2024;4;POSITIV;1;GESICHERT;FALL-014;RS Bau;Phase W: Diff 99.6% (A=34339.0 R=132.0);;RS Bau und Demontage Service: 3550 EUR (20240509);;Phase W: -34207.0 EUR (99.6%);;Bierau + JA (B=21 C=27)
0047-2025;2025;2;POSITIV;0;;;;;;;;Phase W: -24424.0 EUR (100.0%);;Bierau + JA (B=6 C=1)
0048-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0048-2024;2024;1;UNBEKANNT;0;;;;;;N&N Bau GbR: 2592 EUR (59924);;;;
0050-2025;2025;2;UNBEKANNT;0;;;;Phase S: Diff 24.1% (A=3449.0 R=2616.0);;;;;;Bierau + JA (B=30 C=23)
0051-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0051-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 89.4% (A=2582.0 R=274.0);;;;Phase T: -2308.0 EUR (89.4%);;Bierau + JA (B=30 C=40)
0051-2025;2025;1;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 16604 EUR (20250704);;;;
0052-2023;2023;2;POSITIV;2;VERDACHT;FALL-018;Zippel;Phase W: Diff 40.2% (A=7350.0 R=10304.0);;Gerd Zippel: 8330 EUR (2308116);;;;
0052-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0053-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0053-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0053-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=12 C=16)
0054-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 20.2% (A=1817.0 R=1450.0);;;;;;
0055-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0055-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0055-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=100)
0056-2023;2023;1;UNBEKANNT;0;;;;;;MKG Der Dienstleister: 6233 EUR (23-00075);;;;
0056-2024;2024;3;POSITIV;1;GESICHERT;FALL-014;RS Bau;Phase W: Diff 96.9% (A=3520.0 R=110.0);;;;Phase W: -3410.0 EUR (96.9%);;Caspari + NEIN (B=0 C=30)
0056-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 58.7% (A=1747.0 R=721.0);;;;Phase T: -1026.0 EUR (58.7%);;Caspari + NEIN (B=0 C=40)
0057-2023;2023;0;POSITIV;0;;;;;;;;;;
0057-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0058-2025;2025;3;POSITIV;0;;;;Phase L: Diff 60.6% (A=1039.0 R=409.0);;;;Phase W: -3378.0 EUR (100.0%);;Bierau + JA (B=14 C=10)
0059-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0059-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0060-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0060-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0060-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0061-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0061-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0061-2025;2025;2;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 1276 EUR (20250401);;;;Caspari + NEIN (B=0 C=60)
0062-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0062-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0062-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0063-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0063-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 52.2% (A=1306.0 R=625.0);;;;;;Caspari + NEIN (B=0 C=20)
0064-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0064-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1355.0 EUR (100.0%);;
0065-2023;2023;3;UNBEKANNT;0;;;;Phase W: Diff 36.7% (A=4756.0 R=6501.0);;Firma Bajramaj: 3121 EUR (23070025);;;;Caspari + NEIN (B=0 C=20)
0065-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0066-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 21.9% (A=1246.0 R=974.0);;;;;;Caspari + NEIN (B=0 C=10)
0066-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 34.3% (A=1626.0 R=1068.0);;N&N Bau GbR: 6017 EUR (RE66725);;;;Caspari + NEIN (B=0 C=30)
0067-2024;2024;3;POSITIV;0;;;;Phase T: Diff 37.2% (A=742.0 R=466.0);;;;Phase W: -6937.0 EUR (100.0%);;Bierau + JA (B=38 C=20)
0067-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0068-2023;2023;1;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 2504 EUR (202332858);;;;
0068-2024;2024;3;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;Phase T: Diff 91.4% (A=1196.0 R=2289.0);;RS Bau und Demontage Service: 2398 EUR (20240402);;;;Caspari + NEIN (B=0 C=10)
0068-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=100)
0069-2023;2023;1;NEGATIV;0;;;;;;;;Phase W: -1248.0 EUR (100.0%);;
0069-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0069-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -3514.0 EUR (1.0%);;Bierau + JA (B=3 C=10)
0070-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 90.2% (A=2800.0 R=274.0);;;;Phase T: -2526.0 EUR (90.2%);;Caspari + NEIN (B=0 C=20)
0071-2025;2025;2;UNBEKANNT;1;HYPOTHESE;FALL-014;Menkal;Phase T: Diff 40.3% (A=1693.0 R=1011.0);;;;;;Caspari + NEIN (B=0 C=30)
0072-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0072-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 25.3% (A=2224.0 R=1662.0);;Hengst Handwerk GmbH: 3451 EUR (202541546);;;;Caspari + NEIN (B=0 C=20)
0073-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0073-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=80)
0074-2023;2023;0;POSITIV;0;;;;;;;;;;
0074-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0074-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 30.0% (A=1000.0 R=1300.0);Schreinerei Lothar Merte: 540.86 EUR x2 (25G0639/25G0665);;;;;Caspari + NEIN (B=0 C=80)
0075-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0075-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 24.2% (A=5019.0 R=3806.0);;Hengst Malerwerkstätten GmbH: 4117 EUR (202436518);;Phase W: -1213.0 EUR (24.2%);;
0076-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0076-2025;2025;3;UNBEKANNT;0;;;;Phase T: Diff 82.5% (A=2810.0 R=492.0);;;;Phase T: -2318.0 EUR (82.5%);;Bierau + JA (B=15 C=17)
0077-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0077-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0078-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0078-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0079-2023;2023;2;POSITIV;2;GESICHERT;FALL-011;Bierau;;;Gerd Zippel: 9520 EUR (2311124);;Phase W: -1412.0 EUR (8.8%);;
0079-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0080-2025;2025;2;UNBEKANNT;0;;;;;;;;Phase T: -1600.0 EUR (100.0%);;Caspari + NEIN (B=0 C=20)
0081-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0082-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0082-2024;2024;2;UNBEKANNT;0;;;;;;N&N Bau GbR: 4792 EUR (RE601);;;;Caspari + NEIN (B=0 C=50)
0082-2025;2025;4;UNBEKANNT;5;GESICHERT|VERDACHT;FALL-011|FALL-014;Bierau|RS Bau;Phase T: Diff 91.5% (A=1222.0 R=2340.0);;Schreinerei Lothar Merte: 1082 EUR (25G0640);;;2 Akteure: Bierau,RS Bau;Caspari + NEIN (B=0 C=90)
0083-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0083-2024;2024;2;UNBEKANNT;0;;;;;;TeamFaktor NW GmbH: 15941 EUR (RE24091);;;;Caspari + NEIN (B=0 C=50)
0083-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=4 C=1)
