projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0189-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0190-2023;2023;1;UNBEKANNT;0;;;;Phase T: Diff 98.2% (A=1317.0 R=2609.0);;;;;;
0190-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0191-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0191-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0191-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0192-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 85.3% (A=1864.0 R=274.0);;;;Phase T: -1590.0 EUR (85.3%);;Caspari + NEIN (B=0 C=10)
0192-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0192-2025;2025;1;UNBEKANNT;0;;;;Phase L: Diff 31.7% (A=619.0 R=423.0);;;;;;
0193-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 86.3% (A=3252.0 R=445.0);;;;Phase T: -2807.0 EUR (86.3%);;
0193-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 84.0% (A=7150.0 R=1141.0);;;;Phase T: -6009.0 EUR (84.0%);;Bierau + JA (B=10 C=70)
0193-2025;2025;1;NEGATIV;0;;;;Phase T: Diff 50.0% (A=680.0 R=1020.0);;;;;;
0194-2024;2024;3;POSITIV;0;;;;Phase T: Diff 42.0% (A=3026.0 R=1755.0);;;;Phase W: -6949.0 EUR (100.0%);;Bierau + JA (B=32 C=39)
0194-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 45.8% (A=1081.0 R=1576.0);;;;;;
0195-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 42.8% (A=1367.0 R=782.0);;;;;;
0196-2023;2023;1;UNBEKANNT;0;;;;Phase W: Diff 34.6% (A=9259.0 R=12460.0);;;;;;
0196-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0197-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 1108.0% (A=50.0 R=604.0);;;;;;Caspari + NEIN (B=0 C=30)
0197-2024;2024;4;UNBEKANNT;5;GESICHERT|VERDACHT;FALL-011|FALL-018;Bierau|Bierau, Caspari|Gade;Phase T: Diff 26.4% (A=5228.0 R=6606.0);;Hofmann Bauservice: 4554 EUR (2025002);;;2 Akteure: Bierau,Gade;Caspari + NEIN (B=0 C=20)
0198-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 32.0% (A=1500.0 R=1980.0);;;;;;Caspari + NEIN (B=0 C=60)
0198-2025;2025;1;UNBEKANNT;0;;;;;;Firma Bajramaj: 2610 EUR (25110026);;;;
0199-2023;2023;2;POSITIV;0;;;;;;;;Phase W: -3715.0 EUR (100.0%);;Caspari + NEIN (B=0 C=20)
0199-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 501.3% (A=505.0 R=3037.0);;Firma Bajramaj: 2328 EUR (24070058);;;;Caspari + NEIN (B=0 C=60)
0200-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 90.1% (A=1593.0 R=159.0);;;;Phase T: -1435.0 EUR (90.1%);;Caspari + NEIN (B=0 C=30)
0200-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=9 C=15)
0201-2023;2023;5;UNBEKANNT;7;GESICHERT;FALL-014|FALL-015;Caspari, MKG|MKG|RS Bau;Phase W: Diff 43.8% (A=82752.0 R=119012.0);;RS Bau und Demontage Service: 24487 EUR (20231122);;Phase T: -26305.0 EUR (91.5%);3 Akteure: MKG,Caspari, MKG,RS Bau;Caspari + NEIN (B=0 C=60)
0201-2024;2024;2;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-011|FALL-014;Bierau, Caspari|Caspari;;;Stephan Lowicki: 7476 EUR (250094);;;;Caspari + NEIN (B=0 C=100)
0201-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -1030.0 EUR (100.0%);;
0202-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0202-2025;2025;2;UNBEKANNT;0;;;;Phase T: Diff 87.1% (A=2344.0 R=303.0);;;;Phase T: -2041.0 EUR (87.1%);;
0203-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 29.4% (A=1923.0 R=1357.0);;;;;;Caspari + NEIN (B=0 C=30)
0203-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 30.6% (A=818.0 R=568.0);;;;;;Caspari + NEIN (B=0 C=10)
0204-2023;2023;3;UNBEKANNT;2;GESICHERT;FALL-015;MKG;Phase T: Diff 26.1% (A=1233.0 R=912.0);;MKG Der Dienstleister: 1030 EUR (R-23-175);;;;Caspari + NEIN (B=0 C=50)
0204-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 139.6% (A=1389.0 R=3328.0);;Schreinerei Lothar Merte: 1803 EUR (25G0138);;;;Caspari + NEIN (B=0 C=40)
0205-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0205-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0206-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -1010.0 EUR (100.0%);;
0207-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0208-2023;2023;1;POSITIV;0;;;;;;;;Phase W: -4833.0 EUR (100.0%);;
0208-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0209-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=80)
0209-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -2641.0 EUR (100.0%);;
0209-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0210-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 25.7% (A=735.0 R=546.0);;MKG Der Dienstleister: 4127 EUR (R-24-188);;;;Caspari + NEIN (B=0 C=40)
0210-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 76.2% (A=1111.0 R=264.0);;;;;;Bierau + JA (B=14 C=7)
0211-2023;2023;2;UNBEKANNT;0;;;;;;;;Phase T: -1830.0 EUR (100.0%);;Caspari + NEIN (B=0 C=20)
0211-2024;2024;2;UNBEKANNT;0;;;;Phase W: Diff 24.7% (A=1219.0 R=918.0);;;;;;Caspari + NEIN (B=0 C=10)
0211-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -18267.0 EUR (100.0%);;
0212-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0212-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0213-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0213-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -1455.0 EUR (100.0%);;
0214-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0214-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0214-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -4764.0 EUR (100.0%);;
0215-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 72.1% (A=1755.0 R=490.0);;;;Phase T: -1265.0 EUR (72.1%);;Caspari + NEIN (B=0 C=50)
0216-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0216-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0217-2023;2023;4;UNBEKANNT;2;GESICHERT;FALL-015;Caspari, MKG;Phase W: Diff 1212.5% (A=1252.0 R=16435.0);;MKG Der Dienstleister: 4165 EUR (R-24-204);;Phase T: -2223.0 EUR (70.4%);;Caspari + NEIN (B=0 C=30)
0217-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0217-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0218-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 27.5% (A=480.0 R=613.0);;;;;;Caspari + NEIN (B=0 C=50)
0219-2024;2024;3;POSITIV;9;GESICHERT|HYPOTHESE|VERDACHT;FALL-011;Bierau|Richter, Bierau|Unbekannt (SM-A336B)|Zippel, Bierau;;;;;Phase W: -43784.0 EUR (100.0%);3 Akteure: Bierau,Zippel, Bierau,Unbekannt (SM-A336B);Bierau + JA (B=23 C=21)
0219-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0220-2023;2023;2;UNBEKANNT;0;;;;;;;;Phase T: -1413.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0220-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -1399.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0220-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0221-2023;2023;2;UNBEKANNT;0;;;;;;Nils Löser Haustechnik: 1022 EUR (232712);;;;Caspari + NEIN (B=0 C=40)
0221-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 767.6% (A=4442.0 R=38537.0);;;;;;Caspari + NEIN (B=0 C=100)
0221-2025;2025;0;NEGATIV;0;;;;;;;;;;
0222-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 83.4% (A=4222.0 R=700.0);;;;Phase T: -3522.0 EUR (83.4%);;Caspari + NEIN (B=0 C=70)
0222-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -7602.0 EUR (100.0%);;Bierau + JA (B=2 C=5)
0222-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0223-2023;2023;2;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 4581 EUR (202436618);;;;Caspari + NEIN (B=0 C=20)
0223-2024;2024;4;POSITIV;2;GESICHERT;FALL-011;Bierau, Caspari;Phase T: Diff 377.8% (A=1636.0 R=7816.0);;Firma Bajramaj: 4858 EUR (24110013);;Phase W: -3968.0 EUR (100.0%);;Bierau + JA (B=31 C=36)
0224-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0224-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0224-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0225-2023;2023;4;UNBEKANNT;0;;;;Phase W: Diff 22.1% (A=6951.0 R=5415.0);;Hengst Malerwerkstätten GmbH: 5859 EUR (202436725);;Phase W: -1536.0 EUR (22.1%);;Caspari + NEIN (B=0 C=50)
0225-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 45.5% (A=1375.0 R=2001.0);;;;;;Caspari + NEIN (B=0 C=20)
0226-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0226-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -1887.0 EUR (100.0%);;Bierau + JA (B=1 C=5)
0226-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0227-2023;2023;2;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 3123 EUR (202436052);;;;Caspari + NEIN (B=0 C=50)
0227-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 46.4% (A=530.0 R=284.0);;;;;;
0229-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0229-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0229-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0230-2024;2024;3;UNBEKANNT;2;VERDACHT;FALL-011;Bierau;Phase T: Diff 64.4% (A=4106.0 R=1463.0);;;;Phase T: -2643.0 EUR (64.4%);;Caspari + NEIN (B=0 C=60)
0230-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0231-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=100)
0231-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0232-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 40.4% (A=2153.0 R=1283.0);;;;;;Caspari + NEIN (B=0 C=50)
0232-2024;2024;2;POSITIV;0;;;;;;Firma Bajramaj: 4783 EUR (25010005);;;;Caspari + NEIN (B=0 C=50)
0232-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0233-2023;2023;2;POSITIV;0;;;;;;;;Phase W: -15568.0 EUR (100.0%);;Caspari + NEIN (B=0 C=100)
0233-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0234-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 34.0% (A=1778.0 R=1173.0);;;;;;Caspari + NEIN (B=0 C=20)
0234-2025;2025;1;UNBEKANNT;0;;;;Phase T: Diff 23.5% (A=889.0 R=680.0);;;;;;
0235-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 27.1% (A=1263.0 R=1606.0);;MKG Der Dienstleister: 3362 EUR (R-23-174);;;;Caspari + NEIN (B=0 C=50)
0236-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=70)
0237-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0238-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 39.6% (A=3201.0 R=1934.0);;;;Phase T: -1267.0 EUR (39.6%);;Caspari + NEIN (B=0 C=60)
0238-2025;2025;0;UNBEKANNT;0;;;;;;;;;;
0239-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0239-2024;2024;4;POSITIV;7;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-016|FALL-018;Bierau, Caspari|Bierau, Caspari, Zippel|Richter, Bierau|Zippel|Zippel, Bierau, Caspari;Phase T: Diff 40.2% (A=1500.0 R=2103.0);;;;Phase W: -9284.0 EUR (100.0%);2 Akteure: Bierau, Caspari, Zippel,Zippel;Caspari + NEIN (B=0 C=80)
0240-2023;2023;2;UNBEKANNT;0;;;;;;MKG Der Dienstleister: 2940 EUR (R-24-302);;;;Caspari + NEIN (B=0 C=30)
0241-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0242-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0243-2024;2024;2;POSITIV;0;;;;;;N&N Bau GbR: 5000 EUR (RE62624);;;;Caspari + NEIN (B=0 C=40)
0244-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0244-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0245-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0246-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1408.0 EUR (100.0%);;
0247-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0247-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 95.0% (A=3725.0 R=185.0);;;;Phase T: -3540.0 EUR (95.0%);;Bierau + JA (B=12 C=17)
0248-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0249-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0251-2023;2023;3;NEGATIV;0;;;;;;Alexander Jakob: 1184 EUR (23143);;Phase W: -2614.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0251-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0252-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 22.7% (A=1007.0 R=1236.0);;;;;;Bierau + JA (B=14 C=6)
0253-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0253-2024;2024;4;POSITIV;5;GESICHERT|HYPOTHESE;FALL-011|FALL-015;Caspari|Caspari, MKG|MKG;Phase W: Diff 96.0% (A=8730.0 R=352.0);;Firma Bajramaj: 1765 EUR (25010027);;Phase W: -8378.0 EUR (96.0%);;Caspari + NEIN (B=0 C=100)
0255-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0256-2023;2023;2;UNBEKANNT;0;;;;;;;;Phase T: -2404.0 EUR (100.0%);;Caspari + NEIN (B=0 C=50)
0256-2024;2024;2;UNBEKANNT;0;;;;;;Firma Bajramaj: 3788 EUR (24110054);;;;Caspari + NEIN (B=0 C=70)
0257-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0258-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 248.1% (A=2291.0 R=7977.0);;;;;;Caspari + NEIN (B=0 C=20)
0258-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 93.1% (A=2036.0 R=140.0);;;;Phase T: -1896.0 EUR (93.1%);;Caspari + NEIN (B=0 C=30)
0259-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 36.0% (A=3215.0 R=2058.0);;;;Phase T: -1157.0 EUR (36.0%);;Caspari + NEIN (B=0 C=30)
0260-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 91.9% (A=1725.0 R=140.0);;;;Phase T: -1585.0 EUR (91.9%);;Caspari + NEIN (B=0 C=10)
0261-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0263-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0263-2024;2024;2;UNBEKANNT;0;;;;;;Schreinerei Lothar Merte: 7230 EUR (25G0382);;;;Caspari + NEIN (B=0 C=40)
0264-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0265-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0265-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0266-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0266-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1929.0 EUR (100.0%);;
0267-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0268-2024;2024;2;POSITIV;1;HYPOTHESE;FALL-011;Richter, Bierau;;;Gerd Zippel: 8420 EUR (2502105);;;;Caspari + NEIN (B=0 C=50)
0269-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0270-2023;2023;3;UNBEKANNT;0;;;;Phase W: Diff 37.3% (A=8734.0 R=5480.0);;Hengst Malerwerkstätten GmbH: 5928 EUR (202436933);;Phase W: -3254.0 EUR (37.3%);;
0270-2024;2024;3;UNBEKANNT;3;GESICHERT;FALL-014|FALL-015;Caspari, Schulz|RS Bau;Phase T: Diff 27.4% (A=11400.0 R=14522.0);;RS Bau und Demontage Service: 13391 EUR (20250109);;;;Caspari + NEIN (B=0 C=100)
0271-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 25.5% (A=1349.0 R=1005.0);;;;;;Caspari + NEIN (B=0 C=30)
0272-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=20 C=50)
0272-2024;2024;2;POSITIV;0;;;;;;N&N Bau GbR: 6438 EUR (RE67425);;;;Caspari + NEIN (B=0 C=30)
0273-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0273-2024;2024;2;POSITIV;0;;;;Phase T: Diff 94.0% (A=729.0 R=1414.0);;;;;;Caspari + NEIN (B=0 C=30)
0275-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 40.8% (A=992.0 R=588.0);;;;;;Caspari + NEIN (B=0 C=30)
0275-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=19 C=10)
0277-2023;2023;1;UNBEKANNT;0;;;;;;;;Phase T: -1461.0 EUR (100.0%);;
0277-2024;2024;2;POSITIV;0;;;;;;;;Phase W: -3102.0 EUR (100.0%);;Bierau + JA (B=43 C=43)
0278-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0279-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=50)
0280-2023;2023;2;UNBEKANNT;0;;;;;;;;Phase T: -1488.0 EUR (100.0%);;Bierau + JA (B=1 C=5)
0281-2024;2024;1;UNBEKANNT;0;;;;;;;;Phase T: -1488.0 EUR (100.0%);;
0282-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0283-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0283-2024;2024;1;POSITIV;2;VERDACHT;FALL-018;Zippel;;;;;;;Caspari + NEIN (B=0 C=60)
0284-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 396.2% (A=1918.0 R=9518.0);;Firma Bajramaj: 5727 EUR (25120052);;;;
0285-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0285-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0286-2023;2023;3;UNBEKANNT;2;GESICHERT;FALL-014;RS Bau;Phase T: Diff 96.0% (A=7602.0 R=306.0);;;;Phase T: -7297.0 EUR (96.0%);;Bierau + JA (B=55 C=55)
0286-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0287-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0288-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0288-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0289-2023;2023;2;UNBEKANNT;0;;;;;;;;Phase T: -1125.0 EUR (100.0%);;Caspari + NEIN (B=0 C=30)
0289-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0290-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 91.7% (A=9114.0 R=753.0);;;;Phase T: -8361.0 EUR (91.7%);;Caspari + NEIN (B=0 C=70)
0291-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0291-2024;2024;3;POSITIV;1;GESICHERT;FALL-017;Bierau, Caspari;;;N&N Bau GbR: 3926 EUR (RE69025);;Phase W: -1376.0 EUR (14.2%);;Caspari + NEIN (B=0 C=80)
0292-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0292-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 107.2% (A=570.0 R=1181.0);;;;;;Caspari + NEIN (B=0 C=10)
0293-2023;2023;3;POSITIV;2;VERDACHT;FALL-018;Zippel;Phase W: Diff 206.5% (A=3066.0 R=9400.0);;Gerd Zippel: 4760 EUR (2405103);;;;Caspari + NEIN (B=0 C=90)
0293-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0294-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0294-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0295-2023;2023;3;POSITIV;3;GESICHERT|VERDACHT;FALL-015;Caspari, MKG|MKG;Phase T: Diff 347.9% (A=743.0 R=3329.0);;MKG Der Dienstleister: 7735 EUR (R-24-256);;;;Caspari + NEIN (B=0 C=50)
0296-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 51.2% (A=11433.0 R=5582.0);;;;Phase T: -5851.0 EUR (51.2%);;Caspari + NEIN (B=0 C=40)
0297-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0297-2024;2024;4;POSITIV;2;VERDACHT;FALL-011;Gade Gruppe;Phase W: Diff 95.4% (A=18988.0 R=877.0);;Firma Bajramaj: 2290 EUR (25050032);;Phase W: -18110.0 EUR (95.4%);;Bierau + JA (B=63 C=51)
0299-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0300-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0300-2024;2024;3;UNBEKANNT;2;VERDACHT;FALL-011;Bierau, Caspari;Phase W: Diff 38.6% (A=1487.0 R=2062.0);;N&N Bau GbR: 2231 EUR (RE68925);;;;Bierau + JA (B=20 C=80)
0301-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0302-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0303-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0304-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0304-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 250.7% (A=5465.0 R=19166.0);;;Fliesen Schmidt: 28911.0 EUR bei 0.0% Prov;;;Caspari + NEIN (B=0 C=100)
0305-2023;2023;1;NEGATIV;0;;;;;;;;Phase W: -1970.0 EUR (100.0%);;
0305-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0306-2023;2023;4;UNBEKANNT;0;;;;Phase T: Diff 53.7% (A=3230.0 R=1497.0);;Hengst Malerwerkstätten GmbH: 2091 EUR (202435563);;Phase T: -1733.0 EUR (53.7%);;Caspari + NEIN (B=0 C=20)
0306-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0307-2023;2023;2;UNBEKANNT;0;;;;;;OZ Immobiliendienste GmbH: 1125 EUR (240102);;;;Caspari + NEIN (B=0 C=10)
0307-2024;2024;2;UNBEKANNT;0;;;;;;FENNER GmbH u. Co. KG: 1065 EUR (RE25016);;;;Caspari + NEIN (B=0 C=90)
0308-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 22.9% (A=1678.0 R=1294.0);;;;;;Caspari + NEIN (B=0 C=40)
0308-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0309-2023;2023;3;UNBEKANNT;0;;;;Phase T: Diff 63.6% (A=3940.0 R=1434.0);;;;Phase T: -2507.0 EUR (63.6%);;Caspari + NEIN (B=0 C=50)
0309-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0310-2023;2023;4;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-014;Bierau, Caspari, Fliesen Schmidt|Caspari|RS Bau|RS Bau, Bierau, Caspari;Phase T: Diff 75.8% (A=5487.0 R=9646.0);;RS Bau und Demontage Service: 14222 EUR (20240508);;;2 Akteure: Bierau, Caspari, Fliesen Schmidt,RS Bau, Bierau, Caspari;Bierau + JA (B=186 C=190)
0311-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0311-2024;2024;4;POSITIV;5;GESICHERT|VERDACHT;FALL-014;Bierau|RS Bau;Phase W: Diff 76.8% (A=19532.0 R=4540.0);;RS Bau und Demontage Service: 7140 EUR (20250201);;Phase W: -14992.0 EUR (76.8%);;Caspari + NEIN (B=0 C=100)
0312-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0313-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 87.2% (A=2685.0 R=345.0);;;;Phase T: -2340.0 EUR (87.2%);;
0313-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
