projekt_nr;signal_count;befunde_count;bewertungsstufen;faelle;gt_kategorie;BEN-01;D-02;D-03;D-04;D-05;D-08;F-01;F-03;N-06;N-08;P-07;P-08
0160;0;0;;;;;;;;;;;;;;;
0161;0;0;;;;;;;;;;;;;;;
0162-2025;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 4+4)
0163;0;0;;;;;;;;;;;;;;;
0164-2024;4;1;GESICHERT;FALL-011;;;Diff 534.3% (A=1247.0 R=7907.0);;;RE 20240901: 8554 EUR;;Phase T: Diff -2557.0 EUR (1.0%);;;;;Bierau + JA (BC-Score: 39+16)
0165;0;0;;;;;;;;;;;;;;;
0166;0;0;;;;;;;;;;;;;;;
0167;0;0;;;;;;;;;;;;;;;
0168;0;0;;;;;;;;;;;;;;;
0169;0;0;;;;;;;;;;;;;;;
0170;0;0;;;;;;;;;;;;;;;
0171;0;0;;;;;;;;;;;;;;;
0172;0;0;;;;;;;;;;;;;;;
0173-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 7+10)
0174-2024 ;0;0;;;;;;;;;;;;;;;
0175;0;0;;;;;;;;;;;;;;;
0176-2025;1;1;GESICHERT;FALL-014;;;;;;;;;;;;;Bierau + JA (BC-Score: 1+2)
0177-2025;1;0;;;;;;;;;;;;;;;Caspari + NEIN (BC-Score: 0+22)
0178;0;0;;;;;;;;;;;;;;;
0179-2025;0;0;;;;;;;;;;;;;;;
0180;0;0;;;;;;;;;;;;;;;
0181;0;0;;;;;;;;;;;;;;;
0182-2025;0;0;;;;;;;;;;;;;;;
0184-2025;0;0;;;;;;;;;;;;;;;
0185;0;0;;;;;;;;;;;;;;;
0186;0;0;;;;;;;;;;;;;;;
0187;0;0;;;;;;;;;;;;;;;
0188;0;0;;;;;;;;;;;;;;;
0189;0;0;;;;;;;;;;;;;;;
0191;0;0;;;;;;;;;;;;;;;
0192-2025;0;0;;;;;;;;;;;;;;;
0193;0;0;;;;;;;;;;;;;;;
0194-2024;2;0;;;;;;;;;;Phase W: Diff -6949.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 32+39)
0195;0;0;;;;;;;;;;;;;;;
0196;0;0;;;;;;;;;;;;;;;
0197;0;0;;;;;;;;;;;;;;;
0198;0;0;;;;;;;;;;;;;;;
0199;0;0;;;;;;;;;;;;;;;
0200-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 9+15)
0201;0;0;;;;;;;;;;;;;;;
0202;0;0;;;;;;;;;;;;;;;
0203;0;0;;;;;;;;;;;;;;;
0204;0;0;;;;;;;;;;;;;;;
0205;0;0;;;;;;;;;;;;;;;
0206;0;0;;;;;;;;;;;;;;;
0207;0;0;;;;;;;;;;;;;;;
0208;0;0;;;;;;;;;;;;;;;
0209-2024;0;0;;;;;;;;;;;;;;;
0210-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 14+7)
0211;0;0;;;;;;;;;;;;;;;
0212;0;0;;;;;;;;;;;;;;;
0213;0;0;;;;;;;;;;;;;;;
0214;0;0;;;;;;;;;;;;;;;
0215;0;0;;;;;;;;;;;;;;;
0216;0;0;;;;;;;;;;;;;;;
0217;0;0;;;;;;;;;;;;;;;
0218;0;0;;;;;;;;;;;;;;;
