projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0068-2024;2024;1;1;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 2398 EUR;;;;;
0068-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0069-2023;2023;1;1;NEGATIV;0;;;;;;;W-Phase: -1248.0 EUR (100.0%%);;;
0069-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0069-2025;2025;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -3514.0 EUR (1.0%%);Bierau + Tandem (B=3 C=10);
0070-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 90.2%% (A=2800.0 R=274.0);;;;;T-Phase: -2526.0 EUR (90.2%%);;
0071-2025;2025;1;1;UNBEKANNT;1;HYPOTHESE;FALL-014;Phase T: Diff 40.3%% (A=1693.0 R=1011.0);;;;;;;
0072-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0072-2025;2025;2;2;UNBEKANNT;0;;;Phase T: Diff 25.3%% (A=2224.0 R=1662.0);;Hengst Handwerk GmbH: 3451 EUR;;;;;
0073-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0073-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0074-2023;2023;0;0;POSITIV;0;;;;;;;;;;
0074-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0074-2025;2025;2;2;UNBEKANNT;0;;;;Schreinerei Lothar Merte: 540.86 EUR x2;;;;;;Caspari solo C=80 beteil=HOCH
0075-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0075-2024;2024;3;3;UNBEKANNT;0;;;Phase W: Diff 24.2%% (A=5019.0 R=3806.0);;Hengst Malerwerkstätten GmbH: 4117 EUR;;W-Phase: -1213.0 EUR (24.2%%);;;
0076-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0076-2025;2025;2;3;UNBEKANNT;0;;;Phase T: Diff 82.5%% (A=2810.0 R=492.0);;;;;T-Phase: -2318.0 EUR (82.5%%);Bierau + Tandem (B=15 C=17);
0077-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0077-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0078-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0078-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0079-2023;2023;2;2;POSITIV;2;GESICHERT;FALL-011;;;Gerd Zippel: 9520 EUR;;W-Phase: -1412.0 EUR (8.8%%);;;
0079-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0080-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1600.0 EUR (100.0%%);;
0081-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0082-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0082-2024;2024;2;2;UNBEKANNT;0;;;;;N&N Bau GbR: 4792 EUR;;;;;Caspari solo C=50 beteil=HOCH
0082-2025;2025;2;2;UNBEKANNT;5;GESICHERT|VERDACHT;FALL-011|FALL-014;;;Schreinerei Lothar Merte: 1082 EUR;;;;;Caspari solo C=90 beteil=HOCH
0083-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0083-2024;2024;2;2;UNBEKANNT;0;;;;;TeamFaktor NW GmbH: 15941 EUR;;;;;Caspari solo C=50 beteil=HOCH
0083-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=4 C=1);
0084-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0084-2025;2025;2;2;UNBEKANNT;0;;;;;N&N Bau GbR: 1825 EUR;;;;;Caspari solo C=60 beteil=HOCH
0085-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0086-2023;2023;1;1;POSITIV;2;VERDACHT;FALL-018;;;Gerd Zippel: 19196 EUR;;;;;
